time,open,high,low,close,Volume
2026-04-02T15:25:00+05:30,2065.9,2065.9,2065.9,2065.9,65
2026-04-06T14:31:00+05:30,2065.9,2065.9,1800,1800,65
2026-04-06T14:32:00+05:30,1932.95,1932.95,1766.4,1768.8500000000001,130
2026-04-06T14:33:00+05:30,1850.9,1850.9,1771,1771,195
2026-04-06T14:34:00+05:30,1810.95,1810.95,1771.9,1771.9,65
2026-04-06T15:25:00+05:30,1791.4250000000002,1791.4250000000002,1745.75,1750.725,130
2026-04-08T11:40:00+05:30,1771.075,1771.075,794,796.9749999999999,520
2026-04-08T11:41:00+05:30,1284.025,1284.025,794.5,794.5,65
2026-04-08T11:51:00+05:30,1039.2625,1039.2625,794.85,794.85,130
2026-04-08T12:32:00+05:30,917.0562500000001,917.0562500000001,860.35,860.35,65
2026-04-08T12:50:00+05:30,888.703125,888.703125,803.25,803.25,195
2026-04-08T12:58:00+05:30,845.9765625,845.9765625,775,775.7,260
2026-04-08T13:04:00+05:30,810.83828125,810.83828125,790.85,790.85,260
2026-04-08T13:06:00+05:30,800.844140625,800.844140625,793.65,793.65,260
2026-04-08T13:26:00+05:30,797.2470703125,797.2470703125,777.3,777.3,325
2026-04-08T13:28:00+05:30,787.27353515625,787.27353515625,773.55,773.55,65
2026-04-08T13:34:00+05:30,780.4117675781249,780.4117675781249,766.55,766.55,390
2026-04-08T13:36:00+05:30,773.4808837890624,773.4808837890624,760,760,65
2026-04-08T14:01:00+05:30,766.7404418945312,782,766.7404418945312,782,65
2026-04-08T14:06:00+05:30,774.3702209472656,802.1,774.3702209472656,802.1,65
2026-04-08T14:19:00+05:30,788.2351104736329,788.2351104736329,780.95,780.95,195
2026-04-08T14:50:00+05:30,784.5925552368165,784.5925552368165,766.8,766.8,65
2026-04-08T15:03:00+05:30,775.6962776184082,775.6962776184082,765,765,65
2026-04-08T15:07:00+05:30,770.3481388092041,770.3481388092041,747.05,747.05,65
2026-04-08T15:09:00+05:30,758.699069404602,758.699069404602,753.15,753.15,65
2026-04-08T15:27:00+05:30,755.924534702301,755.924534702301,755,755,65
2026-04-09T09:20:00+05:30,755.4622673511506,835,755.4622673511506,835,65
