time,open,high,low,close,Buy,Sell,LinReg Candles (Open),LinReg Candles (High,LinReg Candles (Low),LinReg Candles (Close),LinReg Candles (Open),LinReg Candles (High,LinReg Candles (Low),LinReg Candles (Close),Plot,Volume
2026-01-27T09:15:00+05:30,25099.449999999997,25126.3,25043.8,25092.25,0,0,,,,,,,,,,17411140
2026-01-27T09:16:00+05:30,25095.85,25115.85,25051.75,25083.8625,0,0,,,,,,,,,,7804990
2026-01-27T09:17:00+05:30,25089.856249999997,25089.856249999997,25006.3,25028.3125,0,0,,,,,,,,,,5499166
2026-01-27T09:18:00+05:30,25059.084375,25059.084375,25008.65,25027.9875,0,0,,,,,,,,,,4710567
2026-01-27T09:19:00+05:30,25043.535937499997,25043.535937499997,25009.95,25024.137499999997,0,0,,,,,,,,,,3612896
2026-01-27T09:20:00+05:30,25033.836718749997,25033.836718749997,24962.75,24990.0625,0,0,,,,,,,,,,4484821
2026-01-27T09:21:00+05:30,25011.949609375,25011.949609375,24941.35,24962.574999999997,0,0,,,,,,,,,,4479241
2026-01-27T09:22:00+05:30,24987.262304687498,24987.262304687498,24937.55,24956.35,0,1,,,,,,,,,,3235393
2026-01-27T09:23:00+05:30,24971.80615234375,24978.55,24951.25,24962,0,0,,,,,,,,,,2491561
2026-01-27T09:24:00+05:30,24966.903076171875,24966.903076171875,24942.3,24948.5875,0,0,,,,,,,,,,2601482
2026-01-27T09:25:00+05:30,24957.74528808594,24957.74528808594,24939,24943.649999999998,0,0,,,,,24949.13033669212,24945.18348388671,24920.524999999987,24925.076136363623,,3108107
2026-01-27T09:26:00+05:30,24950.697644042968,24956.1,24932.55,24944.775,0,0,,,,,24937.103236527877,24937.3210493608,24916.36136363637,24923.378409090896,,2520837
2026-01-27T09:27:00+05:30,24947.736322021483,24970.7,24939.95,24956.35,0,0,24930.240822809392,24939.94043301668,24921.054545454543,24930.542045454567,,,,,,2377062
2026-01-27T09:28:00+05:30,24952.04316101074,24968.85,24952.04316101074,24963.0625,0,0,24930.39143413197,24943.842771218027,24926.41373304888,24935.537500000013,,,,,,2848744
2026-01-27T09:29:00+05:30,24957.55283050537,24960.35,24951.05,24957.287500000002,0,0,24932.964467065976,24944.945961692116,24934.35040754838,24941.602272727265,,,,,,1572431
2026-01-27T09:30:00+05:30,24957.420165252686,24975.65,24942.15,24955.15,0,0,24937.28336989662,24952.57827148438,24942.30980932063,24949.50056818183,,,,,,2997105
2026-01-27T09:31:00+05:30,24956.285082626346,24976.1,24940.2,24957.2125,0,0,24943.39196903922,24961.675993208428,24944.1487565474,24954.99545454545,,,,,24937.23319805195,2231276
2026-01-27T09:32:00+05:30,24956.748791313174,24975.95,24954.35,24964.012499999997,0,0,24949.193711792344,24969.370909534806,24947.624067410572,24959.14943181819,,,,,24942.100811688317,1638889
2026-01-27T09:33:00+05:30,24960.380645656587,24989.85,24947.2,24971.2875,0,0,24954.171571805273,24978.63629816227,24947.54256009189,24964.42102272729,,,,,24947.9640422078,2363645
2026-01-27T09:34:00+05:30,24965.834072828293,25000.2,24965.834072828293,24987.55,1,0,24959.29629726626,24989.493190696023,24955.44234867313,24975.215340909093,,,,,24954.345941558448,2462801
2026-01-27T09:35:00+05:30,24976.692036414148,25020.55,24976.692036414148,25002.2125,0,0,24967.25581908768,25003.723369806456,24964.506758721298,24987.075,,,,,24961.708441558443,2331861
2026-01-27T09:36:00+05:30,24989.452268207075,25022.5,24989.452268207075,25015.9,0,0,24977.16540954385,25014.470454545448,24975.467968139328,24999.954545454555,,,,,24970.044480519486,2207147
2026-01-27T09:37:00+05:30,25002.676134103538,25040.3,25002.676134103538,25025.5625,0,0,24988.55997749919,25027.63863636364,24987.170759060435,25012.828977272715,,,,,24979.0913961039,2218326
2026-01-27T09:38:00+05:30,25014.11931705177,25082.75,25014.11931705177,25058.425,0,0,25000.69447738597,25053.140909090907,25000.672465733125,25034.59204545456,,,,,24990.462337662342,2673492
